,trees,avg_accuracy,cumulative_accuracy,cumulative_max
0,5,0.7437499999999999,0.7437499999999999,0.7437499999999999
1,15,0.76875,0.75625,0.76875
2,25,0.8015625,0.7713541666666667,0.8015625
3,35,0.7984374999999999,0.778125,0.8015625
4,45,0.8171875000000001,0.7859375,0.8171875000000001
5,55,0.8265625,0.7927083333333332,0.8265625
6,65,0.81875,0.7964285714285715,0.8265625
7,75,0.8015625,0.7970703124999999,0.8265625
8,85,0.8234374999999999,0.7999999999999999,0.8265625
9,95,0.815625,0.8015625,0.8265625
10,105,0.8343749999999999,0.8045454545454546,0.8343749999999999
11,115,0.7875,0.803125,0.8343749999999999
12,125,0.8203125,0.8044471153846153,0.8343749999999999
13,135,0.815625,0.8052455357142857,0.8343749999999999
14,145,0.8265625000000001,0.8066666666666666,0.8343749999999999
15,155,0.828125,0.8080078125,0.8343749999999999
16,165,0.8265625000000001,0.8090992647058823,0.8343749999999999
17,175,0.8265625000000001,0.8100694444444445,0.8343749999999999
18,185,0.834375,0.8113486842105263,0.834375
19,195,0.8203125,0.811796875,0.834375
20,205,0.8421875000000001,0.8132440476190477,0.8421875000000001
21,215,0.834375,0.8142045454545456,0.8421875000000001
22,225,0.8484375000000001,0.8156929347826087,0.8484375000000001
23,235,0.8359375,0.8165364583333333,0.8484375000000001
24,245,0.8234375,0.8168125,0.8484375000000001
25,255,0.815625,0.8167668269230769,0.8484375000000001
26,265,0.821875,0.8169560185185185,0.8484375000000001
27,275,0.8203125,0.8170758928571429,0.8484375000000001
28,285,0.8328125,0.8176185344827587,0.8484375000000001
29,295,0.8296874999999999,0.8180208333333333,0.8484375000000001
30,305,0.821875,0.8181451612903226,0.8484375000000001
31,315,0.828125,0.81845703125,0.8484375000000001
32,325,0.83125,0.818844696969697,0.8484375000000001
33,335,0.83125,0.8192095588235294,0.8484375000000001
34,345,0.8296875000000001,0.8195089285714285,0.8484375000000001
35,355,0.828125,0.8197482638888889,0.8484375000000001
36,365,0.8203125,0.8197635135135135,0.8484375000000001
37,375,0.840625,0.8203125,0.8484375000000001
38,385,0.8421875000000001,0.8208733974358975,0.8484375000000001
39,395,0.8359375,0.82125,0.8484375000000001
40,405,0.825,0.8213414634146341,0.8484375000000001
41,415,0.84375,0.8218749999999999,0.8484375000000001
42,425,0.8390625,0.8222747093023256,0.8484375000000001
43,435,0.8234375,0.8223011363636363,0.8484375000000001
44,445,0.8296874999999999,0.8224652777777777,0.8484375000000001
45,455,0.8265625,0.8225543478260869,0.8484375000000001
46,465,0.8265625,0.8226396276595744,0.8484375000000001
47,475,0.8390625,0.8229817708333332,0.8484375000000001
48,485,0.8328125,0.8231823979591837,0.8484375000000001
49,495,0.8328125000000001,0.8233750000000001,0.8484375000000001
