,number,value,datetime_start,datetime_complete,duration,params_C,params_feat,state
46,46,0.8218749999999999,2022-10-29 16:09:07.990041,2022-10-29 16:09:08.422999,0 days 00:00:00.432958,3491,1601,COMPLETE
47,47,0.8203125,2022-10-29 16:09:08.423456,2022-10-29 16:09:08.911021,0 days 00:00:00.487565,3911,1361,COMPLETE
48,48,0.796875,2022-10-29 16:09:08.911483,2022-10-29 16:09:09.522592,0 days 00:00:00.611109,4291,1711,COMPLETE
49,49,0.8296874999999999,2022-10-29 16:09:09.523027,2022-10-29 16:09:09.808244,0 days 00:00:00.285217,4721,1071,COMPLETE
50,50,0.8218749999999999,2022-10-29 16:09:09.808631,2022-10-29 16:09:10.120416,0 days 00:00:00.311785,481,1221,COMPLETE
51,51,0.8421875,2022-10-29 16:09:10.120798,2022-10-29 16:09:10.382974,0 days 00:00:00.262176,4081,911,COMPLETE
52,52,0.825,2022-10-29 16:09:10.383366,2022-10-29 16:09:10.683920,0 days 00:00:00.300554,3841,1061,COMPLETE
53,53,0.8171875,2022-10-29 16:09:10.684289,2022-10-29 16:09:10.890340,0 days 00:00:00.206051,3581,721,COMPLETE
54,54,0.8468749999999999,2022-10-29 16:09:10.890724,2022-10-29 16:09:11.262636,0 days 00:00:00.371912,3391,831,COMPLETE
55,55,0.809375,2022-10-29 16:09:11.263022,2022-10-29 16:09:11.480156,0 days 00:00:00.217134,2581,771,COMPLETE
56,56,0.83125,2022-10-29 16:09:11.480537,2022-10-29 16:09:11.651190,0 days 00:00:00.170653,3311,521,COMPLETE
57,57,0.784375,2022-10-29 16:09:11.651572,2022-10-29 16:09:11.773635,0 days 00:00:00.122063,2771,341,COMPLETE
58,58,0.81875,2022-10-29 16:09:11.774096,2022-10-29 16:09:12.043914,0 days 00:00:00.269818,3051,991,COMPLETE
59,59,0.8328125,2022-10-29 16:09:12.044310,2022-10-29 16:09:12.285482,0 days 00:00:00.241172,3671,821,COMPLETE
60,60,0.8203125,2022-10-29 16:09:12.285858,2022-10-29 16:09:12.669346,0 days 00:00:00.383488,2131,1311,COMPLETE
61,61,0.8390625,2022-10-29 16:09:12.669760,2022-10-29 16:09:12.918375,0 days 00:00:00.248615,4141,921,COMPLETE
62,62,0.834375,2022-10-29 16:09:12.918784,2022-10-29 16:09:13.251930,0 days 00:00:00.333146,3931,1181,COMPLETE
63,63,0.8109375000000001,2022-10-29 16:09:13.252338,2022-10-29 16:09:13.420343,0 days 00:00:00.168005,3421,551,COMPLETE
64,64,0.8296875,2022-10-29 16:09:13.420826,2022-10-29 16:09:13.661669,0 days 00:00:00.240843,4321,861,COMPLETE
65,65,0.8234375,2022-10-29 16:09:13.662090,2022-10-29 16:09:13.880912,0 days 00:00:00.218822,3091,711,COMPLETE
66,66,0.8296875,2022-10-29 16:09:13.881365,2022-10-29 16:09:14.179103,0 days 00:00:00.297738,4031,1141,COMPLETE
67,67,0.8359375,2022-10-29 16:09:14.179486,2022-10-29 16:09:14.452179,0 days 00:00:00.272693,1701,1021,COMPLETE
68,68,0.8343750000000001,2022-10-29 16:09:14.452557,2022-10-29 16:09:14.707553,0 days 00:00:00.254996,4401,931,COMPLETE
69,69,0.825,2022-10-29 16:09:14.707970,2022-10-29 16:09:14.952426,0 days 00:00:00.244456,3591,821,COMPLETE
70,70,0.8265625,2022-10-29 16:09:14.952972,2022-10-29 16:09:15.272644,0 days 00:00:00.319672,2781,1101,COMPLETE
71,71,0.821875,2022-10-29 16:09:15.273034,2022-10-29 16:09:15.527855,0 days 00:00:00.254821,4071,921,COMPLETE
72,72,0.8234375,2022-10-29 16:09:15.528248,2022-10-29 16:09:15.801270,0 days 00:00:00.273022,4181,981,COMPLETE
73,73,0.83125,2022-10-29 16:09:15.801658,2022-10-29 16:09:16.066642,0 days 00:00:00.264984,3801,741,COMPLETE
74,74,0.815625,2022-10-29 16:09:16.067025,2022-10-29 16:09:16.473058,0 days 00:00:00.406033,4621,1421,COMPLETE
75,75,0.76875,2022-10-29 16:09:16.473483,2022-10-29 16:09:16.511433,0 days 00:00:00.037950,4201,11,COMPLETE
76,76,0.8453125,2022-10-29 16:09:16.511820,2022-10-29 16:09:16.774894,0 days 00:00:00.263074,4801,871,COMPLETE
77,77,0.8234375,2022-10-29 16:09:16.775300,2022-10-29 16:09:16.958579,0 days 00:00:00.183279,3351,661,COMPLETE
78,78,0.834375,2022-10-29 16:09:16.959173,2022-10-29 16:09:17.191273,0 days 00:00:00.232100,4821,831,COMPLETE
79,79,0.8359375,2022-10-29 16:09:17.191678,2022-10-29 16:09:17.499131,0 days 00:00:00.307453,5001,1191,COMPLETE
80,80,0.7875000000000001,2022-10-29 16:09:17.499516,2022-10-29 16:09:18.068870,0 days 00:00:00.569354,4511,2131,COMPLETE
81,81,0.8406250000000001,2022-10-29 16:09:18.069256,2022-10-29 16:09:18.321460,0 days 00:00:00.252204,3731,891,COMPLETE
82,82,0.8374999999999999,2022-10-29 16:09:18.321860,2022-10-29 16:09:18.559259,0 days 00:00:00.237399,3701,881,COMPLETE
83,83,0.8234375,2022-10-29 16:09:18.559644,2022-10-29 16:09:18.838381,0 days 00:00:00.278737,3951,1041,COMPLETE
84,84,0.83125,2022-10-29 16:09:18.838856,2022-10-29 16:09:19.054793,0 days 00:00:00.215937,3181,761,COMPLETE
85,85,0.8250000000000001,2022-10-29 16:09:19.055183,2022-10-29 16:09:19.366716,0 days 00:00:00.311533,3481,601,COMPLETE
86,86,0.8359375,2022-10-29 16:09:19.367137,2022-10-29 16:09:19.626495,0 days 00:00:00.259358,3811,961,COMPLETE
87,87,0.8218749999999999,2022-10-29 16:09:19.627012,2022-10-29 16:09:19.950108,0 days 00:00:00.323096,3571,1121,COMPLETE
88,88,0.85625,2022-10-29 16:09:19.950495,2022-10-29 16:09:20.270688,0 days 00:00:00.320193,4451,881,COMPLETE
89,89,0.825,2022-10-29 16:09:20.271125,2022-10-29 16:09:20.469016,0 days 00:00:00.197891,4831,671,COMPLETE
90,90,0.8203125,2022-10-29 16:09:20.469423,2022-10-29 16:09:20.808112,0 days 00:00:00.338689,4431,1281,COMPLETE
91,91,0.8390625,2022-10-29 16:09:20.808510,2022-10-29 16:09:21.060575,0 days 00:00:00.252065,4251,871,COMPLETE
92,92,0.8328125,2022-10-29 16:09:21.061004,2022-10-29 16:09:21.393874,0 days 00:00:00.332870,3941,1031,COMPLETE
93,93,0.8390625,2022-10-29 16:09:21.394272,2022-10-29 16:09:21.618111,0 days 00:00:00.223839,4101,791,COMPLETE
94,94,0.840625,2022-10-29 16:09:21.618496,2022-10-29 16:09:21.884216,0 days 00:00:00.265720,4641,921,COMPLETE
95,95,0.825,2022-10-29 16:09:21.884612,2022-10-29 16:09:22.170613,0 days 00:00:00.286001,3711,991,COMPLETE
96,96,0.8406250000000001,2022-10-29 16:09:22.171008,2022-10-29 16:09:22.391240,0 days 00:00:00.220232,4301,851,COMPLETE
97,97,0.8390624999999999,2022-10-29 16:09:22.391635,2022-10-29 16:09:22.619353,0 days 00:00:00.227718,4391,841,COMPLETE
98,98,0.8328125000000001,2022-10-29 16:09:22.619771,2022-10-29 16:09:22.838740,0 days 00:00:00.218969,4501,761,COMPLETE
99,99,0.8390624999999999,2022-10-29 16:09:22.839201,2022-10-29 16:09:23.114973,0 days 00:00:00.275772,3251,901,COMPLETE
100,100,0.8203125,2022-10-29 16:09:23.115412,2022-10-29 16:09:23.420770,0 days 00:00:00.305358,4231,971,COMPLETE
101,101,0.825,2022-10-29 16:09:23.421190,2022-10-29 16:09:23.668095,0 days 00:00:00.246905,3981,711,COMPLETE
102,102,0.8453124999999999,2022-10-29 16:09:23.668488,2022-10-29 16:09:23.933540,0 days 00:00:00.265052,3861,791,COMPLETE
103,103,0.846875,2022-10-29 16:09:23.934025,2022-10-29 16:09:24.145281,0 days 00:00:00.211256,3891,791,COMPLETE
104,104,0.8359375,2022-10-29 16:09:24.145693,2022-10-29 16:09:24.422817,0 days 00:00:00.277124,3441,1091,COMPLETE
105,105,0.828125,2022-10-29 16:09:24.423211,2022-10-29 16:09:24.604880,0 days 00:00:00.181669,3901,631,COMPLETE
106,106,0.840625,2022-10-29 16:09:24.605273,2022-10-29 16:09:24.829544,0 days 00:00:00.224271,4741,801,COMPLETE
107,107,0.8328125000000001,2022-10-29 16:09:24.830025,2022-10-29 16:09:25.030039,0 days 00:00:00.200014,3841,701,COMPLETE
108,108,0.8171875,2022-10-29 16:09:25.030573,2022-10-29 16:09:25.206481,0 days 00:00:00.175908,3641,561,COMPLETE
109,109,0.8390625,2022-10-29 16:09:25.206895,2022-10-29 16:09:25.500907,0 days 00:00:00.294012,4111,941,COMPLETE
110,110,0.8312499999999999,2022-10-29 16:09:25.501347,2022-10-29 16:09:25.768325,0 days 00:00:00.266978,4021,1021,COMPLETE
111,111,0.809375,2022-10-29 16:09:25.768745,2022-10-29 16:09:25.985504,0 days 00:00:00.216759,3751,781,COMPLETE
112,112,0.8343749999999999,2022-10-29 16:09:25.985888,2022-10-29 16:09:26.220880,0 days 00:00:00.234992,4321,851,COMPLETE
113,113,0.828125,2022-10-29 16:09:26.221293,2022-10-29 16:09:26.514428,0 days 00:00:00.293135,3561,901,COMPLETE
114,114,0.83125,2022-10-29 16:09:26.514930,2022-10-29 16:09:26.751420,0 days 00:00:00.236490,3791,751,COMPLETE
115,115,0.8375,2022-10-29 16:09:26.751828,2022-10-29 16:09:27.052329,0 days 00:00:00.300501,4891,851,COMPLETE
116,116,0.8328125,2022-10-29 16:09:27.052758,2022-10-29 16:09:27.314630,0 days 00:00:00.261872,3341,991,COMPLETE
117,117,0.8359374999999999,2022-10-29 16:09:27.315026,2022-10-29 16:09:27.638976,0 days 00:00:00.323950,3651,1051,COMPLETE
118,118,0.8328125,2022-10-29 16:09:27.639392,2022-10-29 16:09:27.830463,0 days 00:00:00.191071,3881,681,COMPLETE
119,119,0.8171875,2022-10-29 16:09:27.830868,2022-10-29 16:09:28.101175,0 days 00:00:00.270307,2941,941,COMPLETE
120,120,0.8515625,2022-10-29 16:09:28.101578,2022-10-29 16:09:28.319402,0 days 00:00:00.217824,4141,801,COMPLETE
121,121,0.8359375,2022-10-29 16:09:28.320038,2022-10-29 16:09:28.549330,0 days 00:00:00.229292,4151,811,COMPLETE
122,122,0.828125,2022-10-29 16:09:28.549759,2022-10-29 16:09:28.782273,0 days 00:00:00.232514,3531,881,COMPLETE
123,123,0.8421875000000001,2022-10-29 16:09:28.782690,2022-10-29 16:09:28.998482,0 days 00:00:00.215792,3971,741,COMPLETE
124,124,0.8328125,2022-10-29 16:09:28.998882,2022-10-29 16:09:29.236356,0 days 00:00:00.237474,3981,731,COMPLETE
125,125,0.8421875,2022-10-29 16:09:29.236747,2022-10-29 16:09:29.454631,0 days 00:00:00.217884,4101,791,COMPLETE
126,126,0.8296875,2022-10-29 16:09:29.455038,2022-10-29 16:09:29.717230,0 days 00:00:00.262192,4431,811,COMPLETE
127,127,0.8125,2022-10-29 16:09:29.717632,2022-10-29 16:09:29.906537,0 days 00:00:00.188905,4201,631,COMPLETE
128,128,0.8203125,2022-10-29 16:09:29.906929,2022-10-29 16:09:30.118089,0 days 00:00:00.211160,2411,751,COMPLETE
129,129,0.821875,2022-10-29 16:09:30.118505,2022-10-29 16:09:30.318943,0 days 00:00:00.200438,4581,681,COMPLETE
130,130,0.8328125000000001,2022-10-29 16:09:30.319382,2022-10-29 16:09:30.545693,0 days 00:00:00.226311,4041,771,COMPLETE
131,131,0.84375,2022-10-29 16:09:30.546111,2022-10-29 16:09:30.777897,0 days 00:00:00.231786,4081,821,COMPLETE
132,132,0.8265625000000001,2022-10-29 16:09:30.778304,2022-10-29 16:09:30.994483,0 days 00:00:00.216179,3861,731,COMPLETE
133,133,0.828125,2022-10-29 16:09:30.994904,2022-10-29 16:09:31.229609,0 days 00:00:00.234705,901,821,COMPLETE
134,134,0.8421875,2022-10-29 16:09:31.230023,2022-10-29 16:09:31.470207,0 days 00:00:00.240184,3971,921,COMPLETE
135,135,0.8390625,2022-10-29 16:09:31.470620,2022-10-29 16:09:31.716502,0 days 00:00:00.245882,4341,871,COMPLETE
136,136,0.83125,2022-10-29 16:09:31.716907,2022-10-29 16:09:31.980084,0 days 00:00:00.263177,4221,961,COMPLETE
137,137,0.828125,2022-10-29 16:09:31.980501,2022-10-29 16:09:32.313348,0 days 00:00:00.332847,3881,1231,COMPLETE
138,138,0.834375,2022-10-29 16:09:32.313788,2022-10-29 16:09:32.497265,0 days 00:00:00.183477,4061,581,COMPLETE
139,139,0.83125,2022-10-29 16:09:32.497741,2022-10-29 16:09:32.741659,0 days 00:00:00.243918,3961,911,COMPLETE
140,140,0.8328125,2022-10-29 16:09:32.742099,2022-10-29 16:09:32.971967,0 days 00:00:00.229868,3771,831,COMPLETE
141,141,0.8374999999999999,2022-10-29 16:09:32.972373,2022-10-29 16:09:33.359468,0 days 00:00:00.387095,3991,1011,COMPLETE
142,142,0.8234375,2022-10-29 16:09:33.359887,2022-10-29 16:09:33.632242,0 days 00:00:00.272355,3661,931,COMPLETE
143,143,0.83125,2022-10-29 16:09:33.632666,2022-10-29 16:09:33.862728,0 days 00:00:00.230062,4111,791,COMPLETE
144,144,0.8468749999999999,2022-10-29 16:09:33.863173,2022-10-29 16:09:34.131678,0 days 00:00:00.268505,4141,861,COMPLETE
145,145,0.8296874999999999,2022-10-29 16:09:34.132243,2022-10-29 16:09:34.385537,0 days 00:00:00.253294,4301,871,COMPLETE
146,146,0.840625,2022-10-29 16:09:34.386042,2022-10-29 16:09:34.624623,0 days 00:00:00.238581,4481,851,COMPLETE
147,147,0.8078125,2022-10-29 16:09:34.625042,2022-10-29 16:09:34.847711,0 days 00:00:00.222669,4221,781,COMPLETE
148,148,0.8296875,2022-10-29 16:09:34.848117,2022-10-29 16:09:35.047564,0 days 00:00:00.199447,4131,711,COMPLETE
149,149,0.8234375,2022-10-29 16:09:35.048094,2022-10-29 16:09:35.440713,0 days 00:00:00.392619,3851,1401,COMPLETE
