,number,value,datetime_start,datetime_complete,duration,params_C,params_feat,state
46,46,0.821875,2022-10-29 16:11:11.019524,2022-10-29 16:11:11.266450,0 days 00:00:00.246926,3231,841,COMPLETE
47,47,0.8671875000000001,2022-10-29 16:11:11.266909,2022-10-29 16:11:12.010492,0 days 00:00:00.743583,4441,2461,COMPLETE
48,48,0.8921875,2022-10-29 16:11:12.010901,2022-10-29 16:11:12.644601,0 days 00:00:00.633700,4821,1781,COMPLETE
49,49,0.8546875,2022-10-29 16:11:12.645030,2022-10-29 16:11:13.259428,0 days 00:00:00.614398,1851,2141,COMPLETE
50,50,0.865625,2022-10-29 16:11:13.259828,2022-10-29 16:11:13.756154,0 days 00:00:00.496326,3611,1831,COMPLETE
51,51,0.8703124999999999,2022-10-29 16:11:13.756571,2022-10-29 16:11:14.136286,0 days 00:00:00.379715,4771,1481,COMPLETE
52,52,0.86875,2022-10-29 16:11:14.136675,2022-10-29 16:11:14.563634,0 days 00:00:00.426959,4981,1741,COMPLETE
53,53,0.8625,2022-10-29 16:11:14.564002,2022-10-29 16:11:14.900785,0 days 00:00:00.336783,4501,1161,COMPLETE
54,54,0.8625,2022-10-29 16:11:14.901175,2022-10-29 16:11:15.430886,0 days 00:00:00.529711,4741,2081,COMPLETE
55,55,0.8390624999999999,2022-10-29 16:11:15.431331,2022-10-29 16:11:16.285512,0 days 00:00:00.854181,4291,3451,COMPLETE
56,56,0.8296875,2022-10-29 16:11:16.285957,2022-10-29 16:11:17.019686,0 days 00:00:00.733729,371,2461,COMPLETE
57,57,0.8749999999999999,2022-10-29 16:11:17.020106,2022-10-29 16:11:17.451154,0 days 00:00:00.431048,4781,1461,COMPLETE
58,58,0.8734375000000001,2022-10-29 16:11:17.451558,2022-10-29 16:11:17.920637,0 days 00:00:00.469079,3901,1861,COMPLETE
59,59,0.859375,2022-10-29 16:11:17.921187,2022-10-29 16:11:18.173712,0 days 00:00:00.252525,2921,971,COMPLETE
60,60,0.8765624999999999,2022-10-29 16:11:18.174184,2022-10-29 16:11:18.615029,0 days 00:00:00.440845,4241,1701,COMPLETE
61,61,0.8875,2022-10-29 16:11:18.615451,2022-10-29 16:11:19.172184,0 days 00:00:00.556733,4611,1631,COMPLETE
62,62,0.865625,2022-10-29 16:11:19.172593,2022-10-29 16:11:19.655412,0 days 00:00:00.482819,4561,1891,COMPLETE
63,63,0.859375,2022-10-29 16:11:19.655855,2022-10-29 16:11:19.994772,0 days 00:00:00.338917,4371,1281,COMPLETE
64,64,0.896875,2022-10-29 16:11:19.995169,2022-10-29 16:11:20.449424,0 days 00:00:00.454255,4871,1591,COMPLETE
65,65,0.859375,2022-10-29 16:11:20.449826,2022-10-29 16:11:21.002641,0 days 00:00:00.552815,4821,2301,COMPLETE
66,66,0.875,2022-10-29 16:11:21.003016,2022-10-29 16:11:21.517297,0 days 00:00:00.514281,4561,2001,COMPLETE
67,67,0.8703125,2022-10-29 16:11:21.517715,2022-10-29 16:11:21.908714,0 days 00:00:00.390999,5001,1421,COMPLETE
68,68,0.875,2022-10-29 16:11:21.909132,2022-10-29 16:11:22.183276,0 days 00:00:00.274144,4031,1041,COMPLETE
69,69,0.8125,2022-10-29 16:11:22.183663,2022-10-29 16:11:22.366131,0 days 00:00:00.182468,4391,701,COMPLETE
70,70,0.8843749999999999,2022-10-29 16:11:22.366515,2022-10-29 16:11:22.811718,0 days 00:00:00.445203,4851,1781,COMPLETE
71,71,0.8734375000000001,2022-10-29 16:11:22.812126,2022-10-29 16:11:23.310939,0 days 00:00:00.498813,4851,1781,COMPLETE
72,72,0.8921875000000001,2022-10-29 16:11:23.311381,2022-10-29 16:11:23.731673,0 days 00:00:00.420292,4621,1581,COMPLETE
73,73,0.9,2022-10-29 16:11:23.732056,2022-10-29 16:11:24.156289,0 days 00:00:00.424233,4631,1561,COMPLETE
74,74,0.9015624999999999,2022-10-29 16:11:24.156748,2022-10-29 16:11:24.554234,0 days 00:00:00.397486,4621,1581,COMPLETE
75,75,0.8734375,2022-10-29 16:11:24.554686,2022-10-29 16:11:24.940132,0 days 00:00:00.385446,4181,1541,COMPLETE
76,76,0.8609374999999999,2022-10-29 16:11:24.940538,2022-10-29 16:11:25.487570,0 days 00:00:00.547032,2181,1941,COMPLETE
77,77,0.8609375,2022-10-29 16:11:25.487970,2022-10-29 16:11:25.795436,0 days 00:00:00.307466,4461,1231,COMPLETE
78,78,0.8484375,2022-10-29 16:11:25.795917,2022-10-29 16:11:26.192721,0 days 00:00:00.396804,1751,1371,COMPLETE
79,79,0.8578125000000001,2022-10-29 16:11:26.193110,2022-10-29 16:11:26.590112,0 days 00:00:00.397002,891,1541,COMPLETE
80,80,0.7875,2022-10-29 16:11:26.590499,2022-10-29 16:11:27.676284,0 days 00:00:01.085785,5001,4301,COMPLETE
