,features,avg_accuracy
0,5,0.4484375
1,15,0.6234375000000001
2,25,0.75
3,35,0.7718750000000001
4,45,0.8078125
5,55,0.815625
6,65,0.825
7,75,0.8359375
8,85,0.840625
9,95,0.8468749999999999
10,105,0.8609374999999999
11,115,0.8671875
12,125,0.88125
13,135,0.8859374999999999
14,145,0.8890625
15,155,0.8890625
16,165,0.89375
17,175,0.8890625000000001
18,185,0.890625
19,195,0.8953125
20,205,0.8968750000000001
21,215,0.9031250000000001
22,225,0.9046875
23,235,0.9046875000000001
24,245,0.909375
25,255,0.9046875
26,265,0.9015624999999999
27,275,0.9078125
28,285,0.9093749999999999
29,295,0.9109375000000001
30,305,0.9125
31,315,0.9140625
32,325,0.9140625
33,335,0.9171874999999999
34,345,0.9171874999999999
35,355,0.9171874999999999
36,365,0.921875
37,375,0.9203125
38,385,0.9203125
39,395,0.9234375
40,405,0.9234374999999999
41,415,0.9234374999999999
42,425,0.9203125000000001
43,435,0.9203125000000001
44,445,0.91875
45,455,0.9171875
46,465,0.9234374999999999
47,475,0.9265625
48,485,0.9265625
49,495,0.9265625
50,505,0.925
51,515,0.925
52,525,0.925
53,535,0.9234374999999999
54,545,0.9234374999999999
55,555,0.921875
56,565,0.925
57,575,0.925
58,585,0.9265625
59,595,0.9265625
60,605,0.9265625
61,615,0.9265625
62,625,0.9265625
63,635,0.9265625
64,645,0.925
65,655,0.9281250000000001
66,665,0.9281250000000001
67,675,0.9265625
68,685,0.9265625
69,695,0.9265625
70,705,0.9281250000000001
71,715,0.9265625
72,725,0.9281250000000001
73,735,0.928125
74,745,0.9296875
75,755,0.9296875
76,765,0.9296875
77,775,0.9312500000000001
78,785,0.9328125
79,795,0.9328125
80,805,0.9328125
81,815,0.934375
82,825,0.934375
83,835,0.934375
84,845,0.934375
85,855,0.934375
86,865,0.934375
87,875,0.9359375
88,885,0.9359375
89,895,0.9359375
90,905,0.9359375
91,915,0.9375000000000001
92,925,0.9406249999999999
93,935,0.9359375
94,945,0.9375
95,955,0.934375
96,965,0.9390624999999999
97,975,0.940625
98,985,0.9437500000000001
99,995,0.9421875
100,1005,0.94375
101,1015,0.9421875
102,1025,0.9421875
103,1035,0.9406249999999999
104,1045,0.9390624999999999
105,1055,0.9390624999999999
106,1065,0.9375
107,1075,0.9375
108,1085,0.9390625
109,1095,0.9390625
110,1105,0.9406249999999999
111,1115,0.9390625
112,1125,0.9390625
113,1135,0.9390625
114,1145,0.9390625
115,1155,0.9390625
116,1165,0.9390625
117,1175,0.9390625
118,1185,0.9390625
119,1195,0.9390625
120,1205,0.9390625
121,1215,0.9390625
122,1225,0.9406249999999999
123,1235,0.9406249999999999
124,1245,0.9406249999999999
125,1255,0.9406249999999999
126,1265,0.9406249999999999
127,1275,0.9421875
128,1285,0.9421875
129,1295,0.9421875
130,1305,0.9421875
131,1315,0.9421875
132,1325,0.94375
133,1335,0.9421875
134,1345,0.9421875
135,1355,0.9421875
136,1365,0.94375
137,1375,0.94375
138,1385,0.94375
139,1395,0.94375
140,1405,0.94375
141,1415,0.94375
142,1425,0.94375
143,1435,0.94375
144,1445,0.94375
145,1455,0.94375
146,1465,0.94375
147,1475,0.94375
148,1485,0.9453125
149,1495,0.9453125
150,1505,0.946875
