,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
45,45,0.8359375,2022-10-29 16:39:59.294976,2022-10-29 16:39:59.590699,0 days 00:00:00.295723,641,,70,COMPLETE
46,46,0.803125,2022-10-29 16:39:59.591154,2022-10-29 16:39:59.948419,0 days 00:00:00.357265,621,90.0,130,COMPLETE
47,47,0.815625,2022-10-29 16:39:59.949127,2022-10-29 16:40:00.269982,0 days 00:00:00.320855,851,,70,COMPLETE
48,48,0.7875,2022-10-29 16:40:00.270490,2022-10-29 16:40:00.967247,0 days 00:00:00.696757,991,100.0,330,COMPLETE
49,49,0.7875,2022-10-29 16:40:00.967687,2022-10-29 16:40:01.414438,0 days 00:00:00.446751,441,80.0,190,COMPLETE
50,50,0.79375,2022-10-29 16:40:01.414869,2022-10-29 16:40:02.196408,0 days 00:00:00.781539,681,,450,COMPLETE
51,51,0.81875,2022-10-29 16:40:02.196812,2022-10-29 16:40:02.434007,0 days 00:00:00.237195,111,,50,COMPLETE
52,52,0.7046875,2022-10-29 16:40:02.434433,2022-10-29 16:40:02.550051,0 days 00:00:00.115618,1,,10,COMPLETE
53,53,0.8125,2022-10-29 16:40:02.550530,2022-10-29 16:40:02.779872,0 days 00:00:00.229342,271,,50,COMPLETE
54,54,0.80625,2022-10-29 16:40:02.780373,2022-10-29 16:40:03.060728,0 days 00:00:00.280355,391,20.0,90,COMPLETE
55,55,0.8125,2022-10-29 16:40:03.061178,2022-10-29 16:40:03.446691,0 days 00:00:00.385513,1331,70.0,50,COMPLETE
56,56,0.7953125,2022-10-29 16:40:03.447204,2022-10-29 16:40:03.852005,0 days 00:00:00.404801,811,10.0,150,COMPLETE
57,57,0.8015625,2022-10-29 16:40:03.852440,2022-10-29 16:40:04.214800,0 days 00:00:00.362360,611,40.0,110,COMPLETE
58,58,0.825,2022-10-29 16:40:04.215205,2022-10-29 16:40:04.478849,0 days 00:00:00.263644,951,60.0,10,COMPLETE
59,59,0.803125,2022-10-29 16:40:04.479262,2022-10-29 16:40:04.937520,0 days 00:00:00.458258,511,90.0,190,COMPLETE
60,60,0.8234375,2022-10-29 16:40:04.937959,2022-10-29 16:40:05.315078,0 days 00:00:00.377119,1161,,70,COMPLETE
61,61,0.8296875,2022-10-29 16:40:05.315485,2022-10-29 16:40:05.479133,0 days 00:00:00.163648,181,70.0,10,COMPLETE
62,62,0.815625,2022-10-29 16:40:05.479558,2022-10-29 16:40:05.674242,0 days 00:00:00.194684,111,70.0,30,COMPLETE
63,63,0.8109375,2022-10-29 16:40:05.674670,2022-10-29 16:40:06.009754,0 days 00:00:00.335084,181,70.0,110,COMPLETE
64,64,0.8109375,2022-10-29 16:40:06.010187,2022-10-29 16:40:06.272880,0 days 00:00:00.262693,301,60.0,70,COMPLETE
65,65,0.825,2022-10-29 16:40:06.273315,2022-10-29 16:40:06.449706,0 days 00:00:00.176391,371,30.0,10,COMPLETE
66,66,0.8078125,2022-10-29 16:40:06.450142,2022-10-29 16:40:06.808269,0 days 00:00:00.358127,211,,130,COMPLETE
67,67,0.8421875,2022-10-29 16:40:06.808685,2022-10-29 16:40:07.098954,0 days 00:00:00.290269,851,100.0,50,COMPLETE
