,features,avg_accuracy
0,5,0.6109374999999999
1,15,0.7218749999999999
2,25,0.7593750000000001
3,35,0.8046875
4,45,0.8171875
5,55,0.8421874999999999
6,65,0.8421875
7,75,0.8531250000000001
8,85,0.8546874999999999
9,95,0.8515625
10,105,0.8609375
11,115,0.8624999999999999
12,125,0.871875
13,135,0.8671875
14,145,0.8671875
15,155,0.8734375000000001
16,165,0.8734375000000001
17,175,0.8765625
18,185,0.8765625000000001
19,195,0.8796875
20,205,0.878125
21,215,0.8859375
22,225,0.890625
23,235,0.8890625
24,245,0.8921875
25,255,0.8921875000000001
26,265,0.89375
27,275,0.89375
28,285,0.89375
29,295,0.8953125
30,305,0.8968750000000001
31,315,0.8968750000000001
32,325,0.8984375
33,335,0.9
34,345,0.9000000000000001
35,355,0.9000000000000001
36,365,0.9000000000000001
37,375,0.9000000000000001
38,385,0.9000000000000001
39,395,0.90625
40,405,0.9046875
41,415,0.9015624999999999
42,425,0.9046874999999999
43,435,0.9078124999999999
44,445,0.903125
45,455,0.9046875
46,465,0.903125
47,475,0.8999999999999999
48,485,0.9015625
49,495,0.9046875000000001
50,505,0.9031250000000001
51,515,0.9015625
52,525,0.8984375
53,535,0.8984375
54,545,0.9
55,555,0.9
56,565,0.9
57,575,0.9015625
58,585,0.9031250000000001
59,595,0.9046875
60,605,0.90625
61,615,0.90625
62,625,0.9078125
63,635,0.9078125
64,645,0.90625
65,655,0.9109375
66,665,0.909375
67,675,0.9125000000000001
68,685,0.9140625000000001
69,695,0.915625
70,705,0.915625
71,715,0.915625
72,725,0.9187500000000001
73,735,0.9203125
74,745,0.915625
75,755,0.915625
76,765,0.915625
77,775,0.915625
78,785,0.9171875
79,795,0.915625
80,805,0.909375
81,815,0.9109375
82,825,0.9125
83,835,0.9140625
84,845,0.9078124999999999
85,855,0.90625
86,865,0.9031250000000001
87,875,0.9031250000000001
88,885,0.9031250000000001
89,895,0.9031250000000001
90,905,0.9031250000000001
91,915,0.9031250000000001
92,925,0.9046875
93,935,0.9078125000000001
94,945,0.9109375
95,955,0.9078125000000001
96,965,0.90625
97,975,0.9078125000000001
98,985,0.9078124999999999
99,995,0.909375
100,1005,0.9109375
101,1015,0.909375
102,1025,0.9078125000000001
103,1035,0.909375
104,1045,0.909375
105,1055,0.9125000000000001
106,1065,0.909375
107,1075,0.90625
108,1085,0.90625
109,1095,0.9046875000000001
110,1105,0.9046875000000001
111,1115,0.9046875000000001
112,1125,0.909375
113,1135,0.909375
114,1145,0.9078124999999999
115,1155,0.909375
116,1165,0.9078124999999999
117,1175,0.9046875
118,1185,0.9078125
119,1195,0.90625
120,1205,0.90625
121,1215,0.90625
122,1225,0.90625
123,1235,0.903125
124,1245,0.8984375
125,1255,0.8953125
126,1265,0.8921875
127,1275,0.8937499999999999
128,1285,0.896875
129,1295,0.896875
130,1305,0.8968750000000001
131,1315,0.8984375
132,1325,0.8921875
133,1335,0.890625
134,1345,0.8921875
135,1355,0.8921875
136,1365,0.8921875
137,1375,0.8921875
138,1385,0.8921875
139,1395,0.890625
140,1405,0.890625
141,1415,0.890625
142,1425,0.890625
143,1435,0.8890625000000001
144,1445,0.8859375
145,1455,0.8859375
146,1465,0.8875
147,1475,0.8859375
148,1485,0.8843749999999999
149,1495,0.8859375
150,1505,0.8843749999999999
151,1515,0.8828125
152,1525,0.8843749999999999
153,1535,0.8843749999999999
154,1545,0.8843749999999999
155,1555,0.8843749999999999
156,1565,0.8843749999999999
157,1575,0.8843749999999999
158,1585,0.8859375
159,1595,0.8843749999999999
160,1605,0.8875000000000001
161,1615,0.8875000000000001
162,1625,0.8875000000000001
163,1635,0.884375
164,1645,0.8828125
165,1655,0.88125
166,1665,0.8796875000000001
167,1675,0.88125
168,1685,0.88125
169,1695,0.88125
170,1705,0.8828125
171,1715,0.8828125
172,1725,0.8828125
173,1735,0.8781249999999999
174,1745,0.8796875
175,1755,0.8781249999999999
176,1765,0.8796875
177,1775,0.8796875
178,1785,0.8796875
179,1795,0.8781249999999999
180,1805,0.8781249999999999
181,1815,0.8781249999999999
182,1825,0.8765624999999999
183,1835,0.8734375000000001
184,1845,0.871875
185,1855,0.8734375
186,1865,0.875
187,1875,0.8765625
188,1885,0.8734375
189,1895,0.8734375
190,1905,0.8734375000000001
191,1915,0.8734375000000001
192,1925,0.8687499999999999
193,1935,0.8687499999999999
194,1945,0.8656250000000001
195,1955,0.8640625
196,1965,0.8671875
197,1975,0.8640625
198,1985,0.859375
199,1995,0.859375
200,2005,0.859375
201,2015,0.8609374999999999
202,2025,0.859375
203,2035,0.859375
204,2045,0.859375
205,2055,0.859375
206,2065,0.8562500000000001
207,2075,0.8562500000000001
208,2085,0.8562500000000001
209,2095,0.8562500000000001
210,2105,0.8562500000000001
211,2115,0.8562500000000001
212,2125,0.8562500000000001
213,2135,0.85625
214,2145,0.85625
215,2155,0.853125
