,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
44,44,0.696875,2022-10-29 16:53:32.595275,2022-10-29 16:53:32.768860,0 days 00:00:00.173585,621,50.0,790,COMPLETE
45,45,0.7328125,2022-10-29 16:53:32.769271,2022-10-29 16:53:32.825783,0 days 00:00:00.056512,91,20.0,890,COMPLETE
46,46,0.7203125,2022-10-29 16:53:32.826273,2022-10-29 16:53:32.876222,0 days 00:00:00.049949,51,20.0,750,COMPLETE
47,47,0.6546875000000001,2022-10-29 16:53:32.876801,2022-10-29 16:53:33.390752,0 days 00:00:00.513951,2091,20.0,870,COMPLETE
48,48,0.7421875,2022-10-29 16:53:33.391190,2022-10-29 16:53:33.431188,0 days 00:00:00.039998,11,20.0,1010,COMPLETE
49,49,0.7140625,2022-10-29 16:53:33.431598,2022-10-29 16:53:33.534804,0 days 00:00:00.103206,281,20.0,1010,COMPLETE
50,50,0.70625,2022-10-29 16:53:33.535219,2022-10-29 16:53:33.571008,0 days 00:00:00.035789,1,40.0,910,COMPLETE
51,51,0.7031249999999999,2022-10-29 16:53:33.571449,2022-10-29 16:53:33.627830,0 days 00:00:00.056381,81,20.0,750,COMPLETE
52,52,0.70625,2022-10-29 16:53:33.628239,2022-10-29 16:53:33.660600,0 days 00:00:00.032361,1,20.0,970,COMPLETE
53,53,0.6921875,2022-10-29 16:53:33.661066,2022-10-29 16:53:33.761743,0 days 00:00:00.100677,281,20.0,810,COMPLETE
54,54,0.715625,2022-10-29 16:53:33.762177,2022-10-29 16:53:33.814137,0 days 00:00:00.051960,71,20.0,710,COMPLETE
55,55,0.7124999999999999,2022-10-29 16:53:33.814551,2022-10-29 16:53:33.888854,0 days 00:00:00.074303,181,20.0,1010,COMPLETE
56,56,0.6906249999999999,2022-10-29 16:53:33.889266,2022-10-29 16:53:34.006273,0 days 00:00:00.117007,371,90.0,890,COMPLETE
